feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Staphylococcus	age_days_numeric	age_days_numeric	-1.43943856818331	0.194688849668985	210	137	1.11601171330948e-11	1.11601171330948e-09
Moraxella	age_days_numeric	age_days_numeric	1.16929044448868	0.187253732513604	210	176	4.6387846931815e-09	2.31939234659075e-07
ASV_22	age_days_numeric	age_days_numeric	0.629515172958323	0.126386289447044	210	39	1.80552029636918e-06	6.01840098789727e-05
Veillonella	age_days_numeric	age_days_numeric	-0.390221841094018	0.0877808162047226	210	43	1.73540912008513e-05	0.000433852280021284
Corynebacterium	age_days_numeric	age_days_numeric	-0.749337807324646	0.171719431021601	210	178	2.43833435812103e-05	0.000487666871624206
Haemophilus	age_days_numeric	age_days_numeric	0.819870821739312	0.194258341352449	210	141	4.33720101680123e-05	0.000722866836133539
Fusobacterium	age_days_numeric	age_days_numeric	0.464805918995606	0.128122825770587	210	49	0.000396503725039085	0.00566433892912978
Staphylococcus	collection_season2	spring	-2.18258586611657	0.616837629790551	210	137	0.000520739488795097	0.00650924360993872
Klebsiella	age_days_numeric	age_days_numeric	-0.393355692131536	0.112192825770633	210	27	0.000604943089173634	0.00672158987970704
Gemella	age_days_numeric	age_days_numeric	-0.320072574176194	0.101219001297662	210	69	0.00192464783058934	0.0192464783058934
Staphylococcus	collection_season2	winter	-2.15456539684264	0.690761144454325	210	137	0.00217149573728167	0.0197408703389243
Dolosigranulum	age_days_numeric	age_days_numeric	0.452329994018589	0.164470076940311	210	125	0.00672963969312128	0.0560803307760107
Acinetobacter	age_days_numeric	age_days_numeric	-0.252976089771092	0.0984617867303698	210	28	0.0111996949591836	0.0861514996860276
Gemella	collection_season2	winter	0.879036950454026	0.376400356292982	210	69	0.0207691393762134	0.138460929174756
Klebsiella	collection_season2	spring	-0.688483012760443	0.291832299317951	210	27	0.0197565603274149	0.138460929174756
Campylobacter	age_days_numeric	age_days_numeric	-0.192138760051705	0.0878076342191348	210	21	0.029792363985164	0.186202274907275
